REG	minecraft:item	1506
E	minecraft:item	107	minecraft:exposed_cut_copper_stairs
E	minecraft:item	108	minecraft:weathered_cut_copper_stairs
E	minecraft:item	109	minecraft:oxidized_cut_copper_stairs
E	minecraft:item	110	minecraft:cut_copper_slab
E	minecraft:item	111	minecraft:exposed_cut_copper_slab
E	minecraft:item	112	minecraft:weathered_cut_copper_slab
E	minecraft:item	113	minecraft:oxidized_cut_copper_slab
E	minecraft:item	114	minecraft:waxed_copper_block
E	minecraft:item	115	minecraft:waxed_exposed_copper
E	minecraft:item	116	minecraft:waxed_weathered_copper
E	minecraft:item	117	minecraft:waxed_oxidized_copper
E	minecraft:item	118	minecraft:waxed_chiseled_copper
E	minecraft:item	119	minecraft:waxed_exposed_chiseled_copper
E	minecraft:item	120	minecraft:waxed_weathered_chiseled_copper
E	minecraft:item	121	minecraft:waxed_oxidized_chiseled_copper
E	minecraft:item	122	minecraft:waxed_cut_copper
E	minecraft:item	123	minecraft:waxed_exposed_cut_copper
E	minecraft:item	124	minecraft:waxed_weathered_cut_copper
E	minecraft:item	125	minecraft:waxed_oxidized_cut_copper
E	minecraft:item	126	minecraft:waxed_cut_copper_stairs
E	minecraft:item	127	minecraft:waxed_exposed_cut_copper_stairs
E	minecraft:item	128	minecraft:waxed_weathered_cut_copper_stairs
E	minecraft:item	129	minecraft:waxed_oxidized_cut_copper_stairs
E	minecraft:item	130	minecraft:waxed_cut_copper_slab
E	minecraft:item	131	minecraft:waxed_exposed_cut_copper_slab
E	minecraft:item	132	minecraft:waxed_weathered_cut_copper_slab
E	minecraft:item	133	minecraft:waxed_oxidized_cut_copper_slab
E	minecraft:item	134	minecraft:oak_log
E	minecraft:item	135	minecraft:spruce_log
E	minecraft:item	136	minecraft:birch_log
E	minecraft:item	137	minecraft:jungle_log
E	minecraft:item	138	minecraft:acacia_log
E	minecraft:item	139	minecraft:cherry_log
E	minecraft:item	140	minecraft:pale_oak_log
E	minecraft:item	141	minecraft:dark_oak_log
E	minecraft:item	142	minecraft:mangrove_log
E	minecraft:item	143	minecraft:mangrove_roots
E	minecraft:item	144	minecraft:muddy_mangrove_roots
E	minecraft:item	145	minecraft:crimson_stem
E	minecraft:item	146	minecraft:warped_stem
E	minecraft:item	147	minecraft:bamboo_block
E	minecraft:item	148	minecraft:stripped_oak_log
E	minecraft:item	149	minecraft:stripped_spruce_log
E	minecraft:item	150	minecraft:stripped_birch_log
E	minecraft:item	151	minecraft:stripped_jungle_log
E	minecraft:item	152	minecraft:stripped_acacia_log
E	minecraft:item	153	minecraft:stripped_cherry_log
E	minecraft:item	154	minecraft:stripped_dark_oak_log
E	minecraft:item	155	minecraft:stripped_pale_oak_log
E	minecraft:item	156	minecraft:stripped_mangrove_log
E	minecraft:item	157	minecraft:stripped_crimson_stem
E	minecraft:item	158	minecraft:stripped_warped_stem
E	minecraft:item	159	minecraft:stripped_oak_wood
E	minecraft:item	160	minecraft:stripped_spruce_wood
E	minecraft:item	161	minecraft:stripped_birch_wood
E	minecraft:item	162	minecraft:stripped_jungle_wood
E	minecraft:item	163	minecraft:stripped_acacia_wood
E	minecraft:item	164	minecraft:stripped_cherry_wood
E	minecraft:item	165	minecraft:stripped_dark_oak_wood
E	minecraft:item	166	minecraft:stripped_pale_oak_wood
E	minecraft:item	167	minecraft:stripped_mangrove_wood
E	minecraft:item	168	minecraft:stripped_crimson_hyphae
E	minecraft:item	169	minecraft:stripped_warped_hyphae
E	minecraft:item	170	minecraft:stripped_bamboo_block
E	minecraft:item	171	minecraft:oak_wood
E	minecraft:item	172	minecraft:spruce_wood
E	minecraft:item	173	minecraft:birch_wood
E	minecraft:item	174	minecraft:jungle_wood
E	minecraft:item	175	minecraft:acacia_wood
E	minecraft:item	176	minecraft:cherry_wood
E	minecraft:item	177	minecraft:pale_oak_wood
E	minecraft:item	178	minecraft:dark_oak_wood
E	minecraft:item	179	minecraft:mangrove_wood
E	minecraft:item	180	minecraft:crimson_hyphae
E	minecraft:item	181	minecraft:warped_hyphae
E	minecraft:item	182	minecraft:oak_leaves
E	minecraft:item	183	minecraft:spruce_leaves
E	minecraft:item	184	minecraft:birch_leaves
E	minecraft:item	185	minecraft:jungle_leaves
E	minecraft:item	186	minecraft:acacia_leaves
E	minecraft:item	187	minecraft:cherry_leaves
E	minecraft:item	188	minecraft:dark_oak_leaves
E	minecraft:item	189	minecraft:pale_oak_leaves
E	minecraft:item	190	minecraft:mangrove_leaves
E	minecraft:item	191	minecraft:azalea_leaves
E	minecraft:item	192	minecraft:flowering_azalea_leaves
E	minecraft:item	193	minecraft:sponge
E	minecraft:item	194	minecraft:wet_sponge
E	minecraft:item	195	minecraft:glass
E	minecraft:item	196	minecraft:tinted_glass
E	minecraft:item	197	minecraft:lapis_block
E	minecraft:item	198	minecraft:sandstone
E	minecraft:item	199	minecraft:chiseled_sandstone
E	minecraft:item	200	minecraft:cut_sandstone
E	minecraft:item	201	minecraft:cobweb
E	minecraft:item	202	minecraft:short_grass
E	minecraft:item	203	minecraft:fern
E	minecraft:item	204	minecraft:bush
E	minecraft:item	205	minecraft:azalea
E	minecraft:item	206	minecraft:flowering_azalea
E	minecraft:item	207	minecraft:dead_bush
E	minecraft:item	208	minecraft:firefly_bush
E	minecraft:item	209	minecraft:short_dry_grass
E	minecraft:item	210	minecraft:tall_dry_grass
E	minecraft:item	211	minecraft:seagrass
E	minecraft:item	212	minecraft:sea_pickle
E	minecraft:item	213	minecraft:white_wool
E	minecraft:item	214	minecraft:orange_wool
E	minecraft:item	215	minecraft:magenta_wool
E	minecraft:item	216	minecraft:light_blue_wool
E	minecraft:item	217	minecraft:yellow_wool
E	minecraft:item	218	minecraft:lime_wool
E	minecraft:item	219	minecraft:pink_wool
E	minecraft:item	220	minecraft:gray_wool
E	minecraft:item	221	minecraft:light_gray_wool
E	minecraft:item	222	minecraft:cyan_wool
E	minecraft:item	223	minecraft:purple_wool
E	minecraft:item	224	minecraft:blue_wool
E	minecraft:item	225	minecraft:brown_wool
E	minecraft:item	226	minecraft:green_wool
E	minecraft:item	227	minecraft:red_wool
E	minecraft:item	228	minecraft:black_wool
E	minecraft:item	229	minecraft:dandelion
E	minecraft:item	230	minecraft:golden_dandelion
E	minecraft:item	231	minecraft:open_eyeblossom
E	minecraft:item	232	minecraft:closed_eyeblossom
E	minecraft:item	233	minecraft:poppy
E	minecraft:item	234	minecraft:blue_orchid
E	minecraft:item	235	minecraft:allium
E	minecraft:item	236	minecraft:azure_bluet
E	minecraft:item	237	minecraft:red_tulip
E	minecraft:item	238	minecraft:orange_tulip
E	minecraft:item	239	minecraft:white_tulip
E	minecraft:item	240	minecraft:pink_tulip
E	minecraft:item	241	minecraft:oxeye_daisy
E	minecraft:item	242	minecraft:cornflower
E	minecraft:item	243	minecraft:lily_of_the_valley
E	minecraft:item	244	minecraft:wither_rose
E	minecraft:item	245	minecraft:torchflower
E	minecraft:item	246	minecraft:pitcher_plant
E	minecraft:item	247	minecraft:spore_blossom
E	minecraft:item	248	minecraft:brown_mushroom
E	minecraft:item	249	minecraft:red_mushroom
E	minecraft:item	250	minecraft:crimson_fungus
E	minecraft:item	251	minecraft:warped_fungus
E	minecraft:item	252	minecraft:crimson_roots
E	minecraft:item	253	minecraft:warped_roots
E	minecraft:item	254	minecraft:nether_sprouts
E	minecraft:item	255	minecraft:weeping_vines
E	minecraft:item	256	minecraft:twisting_vines
E	minecraft:item	257	minecraft:sugar_cane
E	minecraft:item	258	minecraft:kelp
E	minecraft:item	259	minecraft:pink_petals
E	minecraft:item	260	minecraft:wildflowers
E	minecraft:item	261	minecraft:leaf_litter
E	minecraft:item	262	minecraft:moss_carpet
E	minecraft:item	263	minecraft:moss_block
E	minecraft:item	264	minecraft:pale_moss_carpet
E	minecraft:item	265	minecraft:pale_hanging_moss
E	minecraft:item	266	minecraft:pale_moss_block
E	minecraft:item	267	minecraft:hanging_roots
E	minecraft:item	268	minecraft:big_dripleaf
E	minecraft:item	269	minecraft:small_dripleaf
E	minecraft:item	270	minecraft:bamboo
E	minecraft:item	271	minecraft:oak_slab
E	minecraft:item	272	minecraft:spruce_slab
E	minecraft:item	273	minecraft:birch_slab
E	minecraft:item	274	minecraft:jungle_slab
E	minecraft:item	275	minecraft:acacia_slab
E	minecraft:item	276	minecraft:cherry_slab
E	minecraft:item	277	minecraft:dark_oak_slab
E	minecraft:item	278	minecraft:pale_oak_slab
E	minecraft:item	279	minecraft:mangrove_slab
E	minecraft:item	280	minecraft:bamboo_slab
E	minecraft:item	281	minecraft:bamboo_mosaic_slab
E	minecraft:item	282	minecraft:crimson_slab
E	minecraft:item	283	minecraft:warped_slab
E	minecraft:item	284	minecraft:stone_slab
E	minecraft:item	285	minecraft:smooth_stone_slab
E	minecraft:item	286	minecraft:sandstone_slab
E	minecraft:item	287	minecraft:cut_sandstone_slab
E	minecraft:item	288	minecraft:petrified_oak_slab
E	minecraft:item	289	minecraft:cobblestone_slab
E	minecraft:item	290	minecraft:brick_slab
E	minecraft:item	291	minecraft:stone_brick_slab
E	minecraft:item	292	minecraft:mud_brick_slab
E	minecraft:item	293	minecraft:nether_brick_slab
E	minecraft:item	294	minecraft:quartz_slab
E	minecraft:item	295	minecraft:red_sandstone_slab
E	minecraft:item	296	minecraft:cut_red_sandstone_slab
E	minecraft:item	297	minecraft:purpur_slab
E	minecraft:item	298	minecraft:prismarine_slab
E	minecraft:item	299	minecraft:prismarine_brick_slab
E	minecraft:item	300	minecraft:dark_prismarine_slab
E	minecraft:item	301	minecraft:smooth_quartz
E	minecraft:item	302	minecraft:smooth_red_sandstone
E	minecraft:item	303	minecraft:smooth_sandstone
E	minecraft:item	304	minecraft:smooth_stone
E	minecraft:item	305	minecraft:bricks
E	minecraft:item	306	minecraft:acacia_shelf
E	minecraft:item	307	minecraft:bamboo_shelf
E	minecraft:item	308	minecraft:birch_shelf
E	minecraft:item	309	minecraft:cherry_shelf
E	minecraft:item	310	minecraft:crimson_shelf
E	minecraft:item	311	minecraft:dark_oak_shelf
E	minecraft:item	312	minecraft:jungle_shelf
E	minecraft:item	313	minecraft:mangrove_shelf
E	minecraft:item	314	minecraft:oak_shelf
E	minecraft:item	315	minecraft:pale_oak_shelf
E	minecraft:item	316	minecraft:spruce_shelf
E	minecraft:item	317	minecraft:warped_shelf
E	minecraft:item	318	minecraft:bookshelf
E	minecraft:item	319	minecraft:chiseled_bookshelf
E	minecraft:item	320	minecraft:decorated_pot
E	minecraft:item	321	minecraft:mossy_cobblestone
E	minecraft:item	322	minecraft:obsidian
E	minecraft:item	323	minecraft:torch
E	minecraft:item	324	minecraft:end_rod
E	minecraft:item	325	minecraft:chorus_plant
E	minecraft:item	326	minecraft:chorus_flower
E	minecraft:item	327	minecraft:purpur_block
E	minecraft:item	328	minecraft:purpur_pillar
E	minecraft:item	329	minecraft:purpur_stairs
E	minecraft:item	330	minecraft:spawner
E	minecraft:item	331	minecraft:creaking_heart
E	minecraft:item	332	minecraft:chest
E	minecraft:item	333	minecraft:crafting_table
E	minecraft:item	334	minecraft:farmland
E	minecraft:item	335	minecraft:furnace
E	minecraft:item	336	minecraft:ladder
E	minecraft:item	337	minecraft:cobblestone_stairs
E	minecraft:item	338	minecraft:snow
E	minecraft:item	339	minecraft:ice
E	minecraft:item	340	minecraft:snow_block
E	minecraft:item	341	minecraft:cactus
E	minecraft:item	342	minecraft:cactus_flower
E	minecraft:item	343	minecraft:clay
E	minecraft:item	344	minecraft:jukebox
E	minecraft:item	345	minecraft:oak_fence
E	minecraft:item	346	minecraft:spruce_fence
E	minecraft:item	347	minecraft:birch_fence
E	minecraft:item	348	minecraft:jungle_fence
E	minecraft:item	349	minecraft:acacia_fence
E	minecraft:item	350	minecraft:cherry_fence
E	minecraft:item	351	minecraft:dark_oak_fence
E	minecraft:item	352	minecraft:pale_oak_fence
E	minecraft:item	353	minecraft:mangrove_fence
E	minecraft:item	354	minecraft:bamboo_fence
E	minecraft:item	355	minecraft:crimson_fence
E	minecraft:item	356	minecraft:warped_fence
E	minecraft:item	357	minecraft:pumpkin
E	minecraft:item	358	minecraft:carved_pumpkin
E	minecraft:item	359	minecraft:jack_o_lantern
E	minecraft:item	360	minecraft:netherrack
E	minecraft:item	361	minecraft:soul_sand
E	minecraft:item	362	minecraft:soul_soil
E	minecraft:item	363	minecraft:basalt
E	minecraft:item	364	minecraft:polished_basalt
E	minecraft:item	365	minecraft:smooth_basalt
E	minecraft:item	366	minecraft:soul_torch
E	minecraft:item	367	minecraft:copper_torch
E	minecraft:item	368	minecraft:glowstone
E	minecraft:item	369	minecraft:infested_stone
E	minecraft:item	370	minecraft:infested_cobblestone
E	minecraft:item	371	minecraft:infested_stone_bricks
E	minecraft:item	372	minecraft:infested_mossy_stone_bricks
E	minecraft:item	373	minecraft:infested_cracked_stone_bricks
E	minecraft:item	374	minecraft:infested_chiseled_stone_bricks
E	minecraft:item	375	minecraft:infested_deepslate
E	minecraft:item	376	minecraft:stone_bricks
E	minecraft:item	377	minecraft:mossy_stone_bricks
E	minecraft:item	378	minecraft:cracked_stone_bricks
E	minecraft:item	379	minecraft:chiseled_stone_bricks
E	minecraft:item	380	minecraft:packed_mud
E	minecraft:item	381	minecraft:mud_bricks
E	minecraft:item	382	minecraft:deepslate_bricks
E	minecraft:item	383	minecraft:cracked_deepslate_bricks
E	minecraft:item	384	minecraft:deepslate_tiles
E	minecraft:item	385	minecraft:cracked_deepslate_tiles
E	minecraft:item	386	minecraft:chiseled_deepslate
E	minecraft:item	387	minecraft:reinforced_deepslate
E	minecraft:item	388	minecraft:brown_mushroom_block
E	minecraft:item	389	minecraft:red_mushroom_block
E	minecraft:item	390	minecraft:mushroom_stem
E	minecraft:item	391	minecraft:iron_bars
E	minecraft:item	392	minecraft:copper_bars
E	minecraft:item	393	minecraft:exposed_copper_bars
E	minecraft:item	394	minecraft:weathered_copper_bars
E	minecraft:item	395	minecraft:oxidized_copper_bars
E	minecraft:item	396	minecraft:waxed_copper_bars
E	minecraft:item	397	minecraft:waxed_exposed_copper_bars
E	minecraft:item	398	minecraft:waxed_weathered_copper_bars
E	minecraft:item	399	minecraft:waxed_oxidized_copper_bars
E	minecraft:item	400	minecraft:iron_chain
E	minecraft:item	401	minecraft:copper_chain
E	minecraft:item	402	minecraft:exposed_copper_chain
E	minecraft:item	403	minecraft:weathered_copper_chain
E	minecraft:item	404	minecraft:oxidized_copper_chain
E	minecraft:item	405	minecraft:waxed_copper_chain
E	minecraft:item	406	minecraft:waxed_exposed_copper_chain
E	minecraft:item	407	minecraft:waxed_weathered_copper_chain
E	minecraft:item	408	minecraft:waxed_oxidized_copper_chain
E	minecraft:item	409	minecraft:glass_pane
E	minecraft:item	410	minecraft:melon
E	minecraft:item	411	minecraft:vine
E	minecraft:item	412	minecraft:glow_lichen
E	minecraft:item	413	minecraft:resin_clump
E	minecraft:item	414	minecraft:resin_block
E	minecraft:item	415	minecraft:resin_bricks
E	minecraft:item	416	minecraft:resin_brick_stairs
E	minecraft:item	417	minecraft:resin_brick_slab
E	minecraft:item	418	minecraft:resin_brick_wall
E	minecraft:item	419	minecraft:chiseled_resin_bricks
E	minecraft:item	420	minecraft:brick_stairs
E	minecraft:item	421	minecraft:stone_brick_stairs
E	minecraft:item	422	minecraft:mud_brick_stairs
E	minecraft:item	423	minecraft:mycelium
E	minecraft:item	424	minecraft:lily_pad
E	minecraft:item	425	minecraft:nether_bricks
E	minecraft:item	426	minecraft:cracked_nether_bricks
E	minecraft:item	427	minecraft:chiseled_nether_bricks
E	minecraft:item	428	minecraft:nether_brick_fence
E	minecraft:item	429	minecraft:nether_brick_stairs
E	minecraft:item	430	minecraft:sculk
E	minecraft:item	431	minecraft:sculk_vein
E	minecraft:item	432	minecraft:sculk_catalyst
E	minecraft:item	433	minecraft:sculk_shrieker
E	minecraft:item	434	minecraft:enchanting_table
E	minecraft:item	435	minecraft:end_portal_frame
E	minecraft:item	436	minecraft:end_stone
E	minecraft:item	437	minecraft:end_stone_bricks
E	minecraft:item	438	minecraft:dragon_egg
E	minecraft:item	439	minecraft:sandstone_stairs
E	minecraft:item	440	minecraft:ender_chest
E	minecraft:item	441	minecraft:emerald_block
E	minecraft:item	442	minecraft:oak_stairs
E	minecraft:item	443	minecraft:spruce_stairs
E	minecraft:item	444	minecraft:birch_stairs
E	minecraft:item	445	minecraft:jungle_stairs
E	minecraft:item	446	minecraft:acacia_stairs
E	minecraft:item	447	minecraft:cherry_stairs
E	minecraft:item	448	minecraft:dark_oak_stairs
E	minecraft:item	449	minecraft:pale_oak_stairs
E	minecraft:item	450	minecraft:mangrove_stairs
E	minecraft:item	451	minecraft:bamboo_stairs
E	minecraft:item	452	minecraft:bamboo_mosaic_stairs
E	minecraft:item	453	minecraft:crimson_stairs
E	minecraft:item	454	minecraft:warped_stairs
E	minecraft:item	455	minecraft:command_block
E	minecraft:item	456	minecraft:beacon
E	minecraft:item	457	minecraft:cobblestone_wall
E	minecraft:item	458	minecraft:mossy_cobblestone_wall
E	minecraft:item	459	minecraft:brick_wall
E	minecraft:item	460	minecraft:prismarine_wall
E	minecraft:item	461	minecraft:red_sandstone_wall
E	minecraft:item	462	minecraft:mossy_stone_brick_wall
E	minecraft:item	463	minecraft:granite_wall
E	minecraft:item	464	minecraft:stone_brick_wall
E	minecraft:item	465	minecraft:mud_brick_wall
E	minecraft:item	466	minecraft:nether_brick_wall
E	minecraft:item	467	minecraft:andesite_wall
E	minecraft:item	468	minecraft:red_nether_brick_wall
E	minecraft:item	469	minecraft:sandstone_wall
E	minecraft:item	470	minecraft:end_stone_brick_wall
E	minecraft:item	471	minecraft:diorite_wall
E	minecraft:item	472	minecraft:blackstone_wall
E	minecraft:item	473	minecraft:polished_blackstone_wall
E	minecraft:item	474	minecraft:polished_blackstone_brick_wall
E	minecraft:item	475	minecraft:cobbled_deepslate_wall
E	minecraft:item	476	minecraft:polished_deepslate_wall
E	minecraft:item	477	minecraft:deepslate_brick_wall
E	minecraft:item	478	minecraft:deepslate_tile_wall
E	minecraft:item	479	minecraft:anvil
E	minecraft:item	480	minecraft:chipped_anvil
E	minecraft:item	481	minecraft:damaged_anvil
E	minecraft:item	482	minecraft:chiseled_quartz_block
E	minecraft:item	483	minecraft:quartz_block
E	minecraft:item	484	minecraft:quartz_bricks
E	minecraft:item	485	minecraft:quartz_pillar
E	minecraft:item	486	minecraft:quartz_stairs
E	minecraft:item	487	minecraft:white_terracotta
E	minecraft:item	488	minecraft:orange_terracotta
E	minecraft:item	489	minecraft:magenta_terracotta
E	minecraft:item	490	minecraft:light_blue_terracotta
E	minecraft:item	491	minecraft:yellow_terracotta
E	minecraft:item	492	minecraft:lime_terracotta
E	minecraft:item	493	minecraft:pink_terracotta
E	minecraft:item	494	minecraft:gray_terracotta
E	minecraft:item	495	minecraft:light_gray_terracotta
E	minecraft:item	496	minecraft:cyan_terracotta
E	minecraft:item	497	minecraft:purple_terracotta
E	minecraft:item	498	minecraft:blue_terracotta
E	minecraft:item	499	minecraft:brown_terracotta
E	minecraft:item	500	minecraft:green_terracotta
E	minecraft:item	501	minecraft:red_terracotta
E	minecraft:item	502	minecraft:black_terracotta
E	minecraft:item	503	minecraft:barrier
E	minecraft:item	504	minecraft:light
E	minecraft:item	505	minecraft:hay_block
E	minecraft:item	506	minecraft:white_carpet
E	minecraft:item	507	minecraft:orange_carpet
E	minecraft:item	508	minecraft:magenta_carpet
E	minecraft:item	509	minecraft:light_blue_carpet
E	minecraft:item	510	minecraft:yellow_carpet
E	minecraft:item	511	minecraft:lime_carpet
E	minecraft:item	512	minecraft:pink_carpet
E	minecraft:item	513	minecraft:gray_carpet
E	minecraft:item	514	minecraft:light_gray_carpet
E	minecraft:item	515	minecraft:cyan_carpet
E	minecraft:item	516	minecraft:purple_carpet
E	minecraft:item	517	minecraft:blue_carpet
E	minecraft:item	518	minecraft:brown_carpet
E	minecraft:item	519	minecraft:green_carpet
E	minecraft:item	520	minecraft:red_carpet
E	minecraft:item	521	minecraft:black_carpet
E	minecraft:item	522	minecraft:terracotta
E	minecraft:item	523	minecraft:packed_ice
E	minecraft:item	524	minecraft:dirt_path
E	minecraft:item	525	minecraft:sunflower
E	minecraft:item	526	minecraft:lilac
E	minecraft:item	527	minecraft:rose_bush
E	minecraft:item	528	minecraft:peony
E	minecraft:item	529	minecraft:tall_grass
E	minecraft:item	530	minecraft:large_fern
E	minecraft:item	531	minecraft:white_stained_glass
E	minecraft:item	532	minecraft:orange_stained_glass
E	minecraft:item	533	minecraft:magenta_stained_glass
E	minecraft:item	534	minecraft:light_blue_stained_glass
E	minecraft:item	535	minecraft:yellow_stained_glass
E	minecraft:item	536	minecraft:lime_stained_glass
E	minecraft:item	537	minecraft:pink_stained_glass
E	minecraft:item	538	minecraft:gray_stained_glass
E	minecraft:item	539	minecraft:light_gray_stained_glass
E	minecraft:item	540	minecraft:cyan_stained_glass
E	minecraft:item	541	minecraft:purple_stained_glass
E	minecraft:item	542	minecraft:blue_stained_glass
E	minecraft:item	543	minecraft:brown_stained_glass
E	minecraft:item	544	minecraft:green_stained_glass
E	minecraft:item	545	minecraft:red_stained_glass
E	minecraft:item	546	minecraft:black_stained_glass
E	minecraft:item	547	minecraft:white_stained_glass_pane
E	minecraft:item	548	minecraft:orange_stained_glass_pane
E	minecraft:item	549	minecraft:magenta_stained_glass_pane
E	minecraft:item	550	minecraft:light_blue_stained_glass_pane
E	minecraft:item	551	minecraft:yellow_stained_glass_pane
E	minecraft:item	552	minecraft:lime_stained_glass_pane
E	minecraft:item	553	minecraft:pink_stained_glass_pane
E	minecraft:item	554	minecraft:gray_stained_glass_pane
E	minecraft:item	555	minecraft:light_gray_stained_glass_pane
E	minecraft:item	556	minecraft:cyan_stained_glass_pane
E	minecraft:item	557	minecraft:purple_stained_glass_pane
E	minecraft:item	558	minecraft:blue_stained_glass_pane
E	minecraft:item	559	minecraft:brown_stained_glass_pane
E	minecraft:item	560	minecraft:green_stained_glass_pane
E	minecraft:item	561	minecraft:red_stained_glass_pane
E	minecraft:item	562	minecraft:black_stained_glass_pane
E	minecraft:item	563	minecraft:prismarine
E	minecraft:item	564	minecraft:prismarine_bricks
E	minecraft:item	565	minecraft:dark_prismarine
E	minecraft:item	566	minecraft:prismarine_stairs
E	minecraft:item	567	minecraft:prismarine_brick_stairs
E	minecraft:item	568	minecraft:dark_prismarine_stairs
E	minecraft:item	569	minecraft:sea_lantern
E	minecraft:item	570	minecraft:red_sandstone
E	minecraft:item	571	minecraft:chiseled_red_sandstone
E	minecraft:item	572	minecraft:cut_red_sandstone
E	minecraft:item	573	minecraft:red_sandstone_stairs
E	minecraft:item	574	minecraft:repeating_command_block
